lernender_id,thema,versuche,hilfen,bearbeitungszeit_min,punkte,loesungsquote,empfehlung
L183,Funktionen,1,0,35,9.3,0.94,Vertiefung
L184,Listen,3,3,33,7.1,0.72,Uebung
L185,Bedingungen,4,2,24,6.8,0.7,Uebung
L186,Schleifen,4,0,13,8.3,0.81,Uebung
L187,Funktionen,1,1,16,8.4,0.82,Vertiefung
L188,Listen,5,4,29,5.3,0.48,Grundlagen
L189,Bedingungen,6,3,11,7.0,0.69,Grundlagen
L190,Schleifen,3,0,44,7.6,0.76,Uebung
L191,Funktionen,4,1,14,6.7,0.72,Uebung
L192,Listen,1,1,44,9.6,1.0,Vertiefung
L193,Bedingungen,5,4,47,4.6,0.4,Grundlagen
L194,Schleifen,5,2,9,7.3,0.8,Grundlagen
L195,Funktionen,3,2,30,10,1.0,Vertiefung
L196,Listen,5,3,12,7.3,0.79,Grundlagen
L197,Bedingungen,1,0,41,10,1.0,Vertiefung
L198,Schleifen,3,1,31,8.0,0.84,Vertiefung
L199,Funktionen,5,4,13,6.4,0.62,Grundlagen
L200,Listen,5,0,13,7.0,0.77,Grundlagen
L201,Bedingungen,4,4,36,5.7,0.59,Uebung
L202,Schleifen,5,0,30,6.4,0.66,Grundlagen
L203,Funktionen,6,4,39,3.8,0.37,Grundlagen
L204,Listen,2,1,46,9.4,0.95,Vertiefung
L205,Bedingungen,2,0,24,9.4,0.96,Vertiefung
L206,Schleifen,4,3,19,8.0,0.84,Vertiefung
L207,Funktionen,2,2,43,9.4,0.86,Vertiefung
L208,Listen,1,1,10,8.7,0.89,Vertiefung
L209,Bedingungen,1,1,44,8.3,0.85,Vertiefung
L210,Schleifen,6,3,26,5.6,0.57,Grundlagen
L211,Funktionen,3,1,47,6.0,0.62,Uebung
L212,Listen,3,0,35,9.1,0.88,Vertiefung
L213,Bedingungen,5,3,41,8.0,0.85,Grundlagen
L214,Schleifen,6,2,22,5.4,0.57,Grundlagen
L215,Funktionen,5,0,41,4.3,0.42,Grundlagen
L216,Listen,3,2,17,8.1,0.84,Vertiefung
L217,Bedingungen,2,0,46,10,1.0,Vertiefung
L218,Schleifen,1,0,48,7.6,0.76,Uebung
L219,Funktionen,5,3,44,3.5,0.24,Grundlagen
L220,Listen,3,2,17,6.8,0.7,Uebung
L221,Bedingungen,6,2,25,4.9,0.46,Grundlagen
L222,Schleifen,1,1,37,9.3,0.94,Vertiefung
L223,Funktionen,3,0,13,7.7,0.73,Uebung
L224,Listen,4,4,43,8.0,0.78,Uebung
L225,Bedingungen,1,1,44,8.8,0.84,Vertiefung
L226,Schleifen,4,4,17,7.9,0.78,Uebung
L227,Funktionen,3,0,40,8.2,0.81,Uebung
L228,Listen,6,3,36,3.6,0.35,Grundlagen
L229,Bedingungen,3,2,26,6.5,0.71,Uebung
L230,Schleifen,6,4,11,5.5,0.48,Grundlagen
L231,Funktionen,1,1,14,8.8,0.86,Vertiefung
L232,Listen,3,1,29,9.9,1.0,Vertiefung
L233,Bedingungen,3,2,33,9.2,0.98,Vertiefung
L234,Schleifen,1,1,43,7.9,0.85,Vertiefung
L235,Funktionen,2,2,41,9.9,1.0,Vertiefung
L236,Listen,5,2,9,6.1,0.63,Grundlagen
L237,Bedingungen,2,1,39,10,1.0,Vertiefung
L238,Schleifen,2,0,26,9.8,0.96,Vertiefung
L239,Funktionen,5,4,10,4.6,0.37,Grundlagen
L240,Listen,5,1,46,5.8,0.6,Grundlagen
